bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1011670055,1030845,242 West 76th Street,10023,Hotel,22,1930,81560,1,15,189.7,15468774.9,64.71,5.97,,,,,,,,,,,,,
2028210052,2007853,1561 Sheridan Avenue,10457,Multifamily Housing,91,1928,106200,1,6,77.9,8272351.3,,3.61,Multifamily Housing,,0,627980.4,92,5877005.7,,,68,,,,
1008320024,1015779,29 West 30th Street,10001,Office,65,1926,70564,1,12,179.7,12683849.9,14.53,7.32,,,,,,,,,,,,,
4019020039,4047078,56-11 94TH ST,11373,Multifamily Housing,,1964,109020,1,6,59.5,6483156.6,37.68,2.43,Multifamily Housing,"{'Multifamily Housing': 108120.0, 'Medical Office': 900.0}",0,1730566.4,151.37,542700,,,129.74,,1219683.8,,
3019747501,3397042,315 Gates Avenue,11216,Multifamily Housing,39,2011,81169,2,6,137.1,11125588.2,63.5,4.26,Multifamily Housing,"{'Multifamily Housing': 81169.0, 'Parking': 5356.0}",0,3018727.5,98,2043777.5,,,72,,,,
1013609001,1040072,860 United Nations Plaza,10017,Multifamily Housing,70,1967,373510,1,38,182.5,68158092.6,,8.02,,,,,,,,,,,,,
1012677501,1034511,25 West 51st Street,10019,Hotel,42,2007,103429,1,28,209.9,21708887.2,83.38,6.79,Hotel,,0,5979870.6,,5175599.7,,,,,,,
1007760021,1014235,221 West 26 St,10001,Other,,1930,53118,1,3,327.3,17386686.7,,8.64,,,,,,,,,,,,,
5000080060,5000084,120 Stuyvesant Place,10301,Office,75,1974,79150,1,4,112.9,8932618.2,3.3,4.08,Office,,0,2122098.6,,2010249.9,,0.12634,,,,,
1019220024,1058377,121 St. Nicholas Avenue,10026,Multifamily Housing,,1920,55230,1,7,169.4,9357365.9,86.29,9.26,,,,,,,,,,,,,
2028240051,2007873,1711 Morris Avenue,10457,Multifamily Housing,,1927,92740,1,6,196.7,18238108.5,132.82,11.82,,,,,,,,,,,,,
3058740072,3145819,537 OVINGTON AVE,11209,Multifamily Housing,74,1927,46190,1,4,124.2,5734577.3,,5.48,,,,,,,,,,,,,
3055220036,3413866  ,6010 Bay Parkway,11204,Outpatient Rehabilitation/Physical Therapy,,2012,152185,1,9,224.2,34118861.7,,6.86,,,,,,,,,,,,,
2031140009,"2099554;2814650",780 East 185th Street,10460,Multifamily Housing,73,1992,67716,1,6,120.4,8155420.4,,5.01,,,,,,,,,,,,,
2024350045,2002298,1201 Findlay Ave.,10456,Multifamily Housing,15,1921,147445,2,5,161.9,23873770.2,,6.51,,,,,,,,,,,,,
